roster,capacity,hand_size,days,window,discard_limit,gain_threshold,budget,seed,focal_seats,opponent_revision,timeout,embarrassment,total_spent,budget_remaining,sockless_days,faults,fault_details,budget_exhausted_on_day,source_sha256,python_version
"2,r,r,r",28,4,730,40,1,6,120.0,4021,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1410.0,110.0,10.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4022,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2387.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4023,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1207.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4024,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1129.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4025,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1494.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4026,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1299.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4027,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2920.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4028,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1260.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4029,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2660.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4030,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1791.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
